filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",19/23 (82.61%),3.79,1.03,4.00,19,Poor: 0 (0.00%); Marginal: 2 (10.53%); Average: 6 (31.58%); Very Good: 5 (26.32%); Excellent: 6 (31.58%)
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",19/23 (82.61%),3.58,1.07,4.00,19,Poor: 0 (0.00%); Marginal: 4 (21.05%); Average: 4 (21.05%); Very Good: 7 (36.84%); Excellent: 4 (21.05%)
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",19/23 (82.61%),3.74,0.93,4.00,19,Poor: 0 (0.00%); Marginal: 2 (10.53%); Average: 5 (26.32%); Very Good: 8 (42.11%); Excellent: 4 (21.05%)
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,8,The course was difficult.,18/23 (78.26%),3.39,0.70,3.00,18,Strongly disagree: 0 (0.00%); Disagree: 1 (5.56%); Neither agree nor disagree: 10 (55.56%); Agree: 6 (33.33%); Strongly agree: 1 (5.56%)
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,19/23 (82.61%),5.16,2.19,5.00,19,1: 0 (0.00%); 2: 1 (5.26%); 3: 3 (15.79%); 4: 4 (21.05%); 5: 5 (26.32%); 6: 3 (15.79%); 7: 0 (0.00%); 8: 1 (5.26%); 9: 0 (0.00%); 10+: 2 (10.53%)
IDS-583-01_Ye__David_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,David Ye,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
IDS-583-01_Ye__David_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,David Ye,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
IDS-583-01_Ye__David_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,David Ye,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",19/23 (82.61%),3.79,1.03,4.00,19,Poor: 0 (0.00%); Marginal: 2 (10.53%); Average: 6 (31.58%); Very Good: 5 (26.32%); Excellent: 6 (31.58%)
