filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
ARTHIST-103D-01D_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-103D-01D : HISTORY OF ARCHITECTURE INTRO.ARTHIST-103D-01D.,Sara Galletti,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
ARTHIST-103D-01D_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-103D-01D : HISTORY OF ARCHITECTURE INTRO.ARTHIST-103D-01D.,Sara Galletti,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
ARTHIST-103D-01D_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-103D-01D : HISTORY OF ARCHITECTURE INTRO.ARTHIST-103D-01D.,Sara Galletti,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",7/7 (100%),3.57,1.51,4.00,7,Poor: 1 (14.29%); Marginal: 1 (14.29%); Average: 0 (0.00%); Very Good: 3 (42.86%); Excellent: 2 (28.57%)
ARTHIST-103D-01D_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-103D-01D : HISTORY OF ARCHITECTURE INTRO.ARTHIST-103D-01D.,Sara Galletti,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
ARTHIST-103D-01D_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-103D-01D : HISTORY OF ARCHITECTURE INTRO.ARTHIST-103D-01D.,Sara Galletti,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",6/7 (85.71%),3.50,1.52,3.50,6,Poor: 1 (16.67%); Marginal: 0 (0.00%); Average: 2 (33.33%); Very Good: 1 (16.67%); Excellent: 2 (33.33%)
ARTHIST-103D-01D_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-103D-01D : HISTORY OF ARCHITECTURE INTRO.ARTHIST-103D-01D.,Sara Galletti,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",7/7 (100%),4.57,0.53,5.00,7,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 3 (42.86%); Excellent: 4 (57.14%)
ARTHIST-103D-01D_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-103D-01D : HISTORY OF ARCHITECTURE INTRO.ARTHIST-103D-01D.,Sara Galletti,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
ARTHIST-103D-01D_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-103D-01D : HISTORY OF ARCHITECTURE INTRO.ARTHIST-103D-01D.,Sara Galletti,8,The course was difficult.,7/7 (100%),3.00,1.29,2.00,7,Strongly disagree: 0 (0.00%); Disagree: 4 (57.14%); Neither agree nor disagree: 0 (0.00%); Agree: 2 (28.57%); Strongly agree: 1 (14.29%)
ARTHIST-103D-01D_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-103D-01D : HISTORY OF ARCHITECTURE INTRO.ARTHIST-103D-01D.,Sara Galletti,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7/7 (100%),3.29,2.98,2.00,7,1: 3 (42.86%); 2: 1 (14.29%); 3: 1 (14.29%); 4: 0 (0.00%); 5: 0 (0.00%); 6: 0 (0.00%); 7: 1 (14.29%); 8: 1 (14.29%); 9: 0 (0.00%); 10+: 0 (0.00%)
ARTHIST-103D-01D_Galletti__Sara_Fall_2024.html,Fall 2024,ARTHIST-103D-01D : HISTORY OF ARCHITECTURE INTRO.ARTHIST-103D-01D.,Sara Galletti,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
ARTHIST-103D-01D_Galletti__Sara_Fall_2024.html,Fall 2024,ARTHIST-103D-01D : HISTORY OF ARCHITECTURE INTRO.ARTHIST-103D-01D.,Sara Galletti,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
ARTHIST-103D-01D_Galletti__Sara_Fall_2024.html,Fall 2024,ARTHIST-103D-01D : HISTORY OF ARCHITECTURE INTRO.ARTHIST-103D-01D.,Sara Galletti,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",10/22 (45.45%),3.20,1.32,3.00,10,Poor: 1 (10.00%); Marginal: 2 (20.00%); Average: 3 (30.00%); Very Good: 2 (20.00%); Excellent: 2 (20.00%)
ARTHIST-103D-01D_Galletti__Sara_Fall_2024.html,Fall 2024,ARTHIST-103D-01D : HISTORY OF ARCHITECTURE INTRO.ARTHIST-103D-01D.,Sara Galletti,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
ARTHIST-103D-01D_Galletti__Sara_Fall_2024.html,Fall 2024,ARTHIST-103D-01D : HISTORY OF ARCHITECTURE INTRO.ARTHIST-103D-01D.,Sara Galletti,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",10/22 (45.45%),4.00,0.82,4.00,10,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 3 (30.00%); Very Good: 4 (40.00%); Excellent: 3 (30.00%)
